Chef~ Zipcode~ Number Of Stars~ Link 
Anthony Jéhanno~ 56400~ 1 star~ https://restaurant.michelin.fr/2f8kr60/terre-mer-auray 
Glenn Viel~ 73120~ 1 star~ https://restaurant.michelin.fr/2f4vonu/baumaniere-1850-courchevel-1850 
Jacques Barnachon~ 25210~ 1 star~ https://restaurant.michelin.fr/28xqe8v/letang-du-moulin-bonnetage 
Jean-Denis Lebras~ 33000~ 2 stars~ https://restaurant.michelin.fr/a7u4fcer/la-grande-maison-de-bernard-magrez-bordeaux 
Loïc Dantec~ 75008~ 1 star~ https://restaurant.michelin.fr/2f3fs2n/114-faubourg-paris-08 
Romain Hubert~ 38080~ 1 star~ https://restaurant.michelin.fr/5jdkm0u/lemulsion-saint-alban-de-roche 
Romuald Fassenet~ 39100~ 1 star~ https://restaurant.michelin.fr/2ejhn11/chateau-du-mont-joly-sampans 
Christian Lherm~ 69002~ 1 star~ https://restaurant.michelin.fr/29svngf/les-trois-domes-lyon-02 
Nicolas Sale~ 75001~ 1 star~ https://restaurant.michelin.fr/2a7bw8d/ritz-paris-les-jardins-de-lespadon-paris-01 
Jocelyn Herland~ 75001~ 2 stars~ https://restaurant.michelin.fr/2a7d9c1/le-meurice-alain-ducasse-paris-01 
Jean-Yves Jaguin~ 22300~ 1 star~ https://restaurant.michelin.fr/29pm63n/la-ville-blanche-la-ville-blanche 
Gilles Tournadre~ 76000~ 2 stars~ https://restaurant.michelin.fr/2aqe7bm/gill-rouen 
Simone Zanoni~ 75008~ 1 star~ https://restaurant.michelin.fr/9q8vl0jf/le-george-paris-08 
Kunihisa Goto~ 77300~ 1 star~ https://restaurant.michelin.fr/29i66ux/laxel-fontainebleau 
JérémyScalia~ 13210~ 1 star~ https://restaurant.michelin.fr/4038001/restaurant-de-tourrel-saint-remy-de-provence 
Didier Edon~ 37210~ 1 star~ https://restaurant.michelin.fr/2cyg6yb/les-hautes-roches-rochecorbon 
Olivier Samson~ 56000~ 1 star~ https://restaurant.michelin.fr/3n5gkk2/la-gourmandiere-la-table-dolivier-vannes 
Laurent Haller~ 68170~ 1 star~ https://restaurant.michelin.fr/9tnfzh4/le-7eme-continent-rixheim 
Olivier Boussard~ 72000~ 1 star~ https://restaurant.michelin.fr/29vchdk/le-beaulieu-le-mans 
Jérémy Czaplicki~ 83150~ 1 star~ https://restaurant.michelin.fr/2e1on31/les-oliviers-bandol 
Anthony Bisquerra~ 74120~ 1 star~ https://restaurant.michelin.fr/9tlmhvt/la-table-de-lalpaga-megeve 
Bernard Bach et William Camdelon~ 32600~ 2 stars~ https://restaurant.michelin.fr/29nnrkd/le-puits-st-jacques-pujaudran 
Yannick Delpech~ 31770~ 1 star~ https://restaurant.michelin.fr/2b3pf5k/lamphitryon-colomiers 
Franck Pelux~ 67000~ 1 star~ https://restaurant.michelin.fr/kl196wcf/au-crocodile-strasbourg 
Indra Carrillo~ 75009~ 1 star~ https://restaurant.michelin.fr/3491071/la-condesa-paris-09 
Pierre Reboul~ 13290~ 1 star~ https://restaurant.michelin.fr/9pmxzh3/pierre-reboul-aix-en-provence 
Mathias Dandine~ 13100~ 1 star~ https://restaurant.michelin.fr/2x1lce26/le-saint-esteve-le-tholonet 
Keita Kitamura~ 75002~ 1 star~ https://restaurant.michelin.fr/3345846/erh-paris-02 
Thierry Renou~ 33120~ 1 star~ https://restaurant.michelin.fr/28q4ohd/le-patio-arcachon 
Fumio KUDAKA~ 35260~ 1 star~ https://restaurant.michelin.fr/2f8ln9w/la-table-breizh-cafe-cancale 
Sylvain Guillemot~ 35530~ 1 star~ https://restaurant.michelin.fr/2ao77e3/auberge-du-pont-dacigne-noyal-sur-vilaine 
Rémi Chambard~ 92410~ 1 star~ https://restaurant.michelin.fr/2aiulws5/le-corot-ville-davray 
~ 75007~ 2 stars~ https://restaurant.michelin.fr/2dduyu5/latelier-de-joel-robuchon-st-germain-paris-07 
Jérôme Faure~ 84360~ 1 star~ https://restaurant.michelin.fr/ua2fx9zg/le-champ-des-lunes-lauris 
Le chef Franco Bowanee et Karina Laval, chef pâtissière.~ 89200~ 1 star~ https://restaurant.michelin.fr/2bezvvp/chateau-de-vault-de-lugny-vault-de-lugny 
David Goerne~ 76490~ 1 star~ https://restaurant.michelin.fr/9rnckmj/ga-au-manoir-de-retival-caudebec-en-caux 
Damien Leveau~ 74400~ 2 stars~ https://restaurant.michelin.fr/2bnvpvu/albert-1er-chamonix-mont-blanc 
Fabien Fage~ 34200~ 1 star~ https://restaurant.michelin.fr/4041601/marcel-sete 
Jérémy Morin~ 31850~ 1 star~ https://restaurant.michelin.fr/xay649ax/laparte-montrabe 
Sylvain Roux~ 42140~ 1 star~ https://restaurant.michelin.fr/ou4s65x/chateau-blanchard-chazelles-sur-lyon 
Michel Truchon~ 12800~ 1 star~ https://restaurant.michelin.fr/2cv1ygx/le-senechal-sauveterre-de-rouergue 
~ 69005~ 1 star~ https://restaurant.michelin.fr/4037936/la-sommeliere-lyon-05 
Sébastien Buecher~ 67730~ 1 star~ https://restaurant.michelin.fr/29qv5p8/auberge-frankenbourg-la-vancelle 
Keigo Kimura~ 21000~ 1 star~ https://restaurant.michelin.fr/4040011/lasperule-dijon 
Arnaud Donckele~ 83990~ 3 stars~ https://restaurant.michelin.fr/2csqkr7/la-vague-dor-cheval-blanc-st-tropez-saint-tropez 
ÉricCanino~ 83350~ 1 star~ https://restaurant.michelin.fr/9tangja/la-voile-ramatuelle 
Mickaël Marion~ 50000~ 1 star~ https://restaurant.michelin.fr/3ffxvs0j/intuition-saint-lo 
William Elliott~ 62520~ 1 star~ https://restaurant.michelin.fr/2b3t8kh/le-pavillon-le-touquet-paris-plage 
Christopher Coutanceau~ 17000~ 2 stars~ https://restaurant.michelin.fr/2apfrj5/christopher-coutanceau-la-rochelle 
Alain Dutournier~ 75001~ 1 star~ https://restaurant.michelin.fr/2a7gjv9/carre-des-feuillants-paris-01 
Stéphan Paroche~ 13520~ 1 star~ https://restaurant.michelin.fr/xb2s4av1/cicada-table-du-hameau-paradou 
Frédéric Doucet~ 71120~ 1 star~ https://restaurant.michelin.fr/295q5w8/frederic-doucet-charolles 
Jean-François Bérard~ 83740~ 1 star~ https://restaurant.michelin.fr/2bl33gu/hostellerie-berard-la-cadiere-dazur 
Laëtitia et Stéphane Cosnier~ 56340~ 1 star~ https://restaurant.michelin.fr/mhm4jdd/cote-cuisine-carnac 
Édouard Loubet~ 84480~ 2 stars~ https://restaurant.michelin.fr/2bj1jms/la-bastide-de-capelongue-bonnieux 
~ 75012~ 1 star~ https://restaurant.michelin.fr/3ffvej5j/table-bruno-verjus-paris-12 
~ 75002~ 1 star~ https://restaurant.michelin.fr/2852091/sushi-b-paris-02 
Renaud Darmanin~ 15220~ 1 star~ https://restaurant.michelin.fr/aewyhv0/auberge-de-la-tour-marcoles 
Thomas Parnaud~ 28000~ 1 star~ https://restaurant.michelin.fr/2boyz17/le-georges-chartres 
Gilles Dudognon~ 87510~ 1 star~ https://restaurant.michelin.fr/2c4rgah/chapelle-saint-martin-nieul 
Christophe Dufossé~ 57000~ 1 star~ https://restaurant.michelin.fr/2dse7wh/maison-dufosse-la-table-metz 
René et Maxime Meilleur~ 73440~ 3 stars~ https://restaurant.michelin.fr/2avet55/rene-et-maxime-meilleur-saint-martin-de-belleville 
Tanguy Laviale~ 33000~ 1 star~ https://restaurant.michelin.fr/3wsi04j3/garopapilles-bordeaux 
Jean-Christophe Ansanay-Alex~ 69009~ 1 star~ https://restaurant.michelin.fr/29tj1pj/auberge-de-lile-barbe-lyon-09 
Yohann Lemonnier~ 14000~ 1 star~ https://restaurant.michelin.fr/sd2y8ik/initial-caen 
Marc Faivre~ 25160~ 1 star~ https://restaurant.michelin.fr/29v2jed/le-bon-accueil-malbuisson 
Thierry Seychelles~ 56000~ 1 star~ https://restaurant.michelin.fr/2b6s3ty/roscanvec-vannes 
Yannick Franques~ 06310~ 1 star~ https://restaurant.michelin.fr/2bh3p7k/restaurant-des-rois-beaulieu-sur-mer 
Andrée et Stéphane Rosier~ 64200~ 1 star~ https://restaurant.michelin.fr/2epi2a4/les-rosiers-biarritz 
Kazuyuki Tanaka~ 51100~ 1 star~ https://restaurant.michelin.fr/eiak4cnv/racine-reims 
Gilles Goujon~ 11360~ 3 stars~ https://restaurant.michelin.fr/29ib1yg/auberge-du-vieux-puits-fontjoncouse 
David Biasibetti~ 31180~ 1 star~ https://restaurant.michelin.fr/2b3jb0y/o-saveurs-rouffiac-tolosan 
~ 67000~ 1 star~ https://restaurant.michelin.fr/4035231/les-funambules-strasbourg 
Christophe Moret~ 75016~ 2 stars~ https://restaurant.michelin.fr/2fcezsf/labeille-paris-16 
Bertrand Grébaut~ 75011~ 1 star~ https://restaurant.michelin.fr/3xrgyvn/septime-paris-11 
Christian Constant~ 75007~ 1 star~ https://restaurant.michelin.fr/2aa5u1w/le-violon-dingres-paris-07 
Franck Putelat~ 11000~ 2 stars~ https://restaurant.michelin.fr/2e06z2s/la-table-de-franck-putelat-carcassonne 
~ 75008~ 1 star~ https://restaurant.michelin.fr/2affgmi/apicius-paris-08 
Hervé Busset~ 12320~ 1 star~ https://restaurant.michelin.fr/2brjniu/herve-busset-conques-en-rouergue 
Philippe Mille~ 51100~ 2 stars~ https://restaurant.michelin.fr/2clh5yg/le-parc-les-crayeres-reims 
Damien Sanchez~ 30000~ 1 star~ https://restaurant.michelin.fr/olnthqo/skab-nimes 
Alexandre Lechêne~ 05350~ 1 star~ https://restaurant.michelin.fr/8xdk7lc4/le-roc-alto-saint-veran 
Yannick Germain~ 67770~ 1 star~ https://restaurant.michelin.fr/2b00ufd/auberge-au-boeuf-sessenheim 
Philippe Brun~ 43580~ 1 star~ https://restaurant.michelin.fr/2bc2prd/le-haut-allier-le-pont-dalleyras 
Patrick Bertron~ 21210~ 2 stars~ https://restaurant.michelin.fr/2cur8yy/le-relais-bernard-loiseau-saulieu 
~ 75018~ 1 star~ https://restaurant.michelin.fr/ximkypex/ken-kawasaki-paris-18 
Nicolas Hensinger~ 74120~ 1 star~ https://restaurant.michelin.fr/3492296/prima-megeve 
PhilippeJourdin~ 83440~ 1 star~ https://restaurant.michelin.fr/2dix4nq137/faventia-tourrettes 
Piet Huysentruyt~ 07140~ 1 star~ https://restaurant.michelin.fr/1ad26y4c/likoke-les-vans 
Bruno Cirino~ 06320~ 2 stars~ https://restaurant.michelin.fr/2b5e0ez/hostellerie-jerome-la-turbie 
Fanny Rey~ 13210~ 1 star~ https://restaurant.michelin.fr/389tiwsv/fanny-rey-jonathan-wahid-saint-remy-de-provence 
